n,m,K,a,s_list,sizes,order,lambda_star,lambda_star_sq,A_float,B_float,A_fraction,B_fraction
4,4,2,1 1 1 1,0 2,2 6,2,0 0 0 0,0 0 0 0,1 0 2 0 5,1 0 10 8 13,1 0 2 0 5,1 0 10 8 13
5,4,2,1 1 1 1 1,0 2,6 10,2,0 1 0 0 0,0 1 0 0 0,1 1 2 2 5 5,1 1 10 18 21 13,1 1 2 2 5 5,1 1 10 18 21 13
5,4,2,1 3 3 3 3,0 2,6 10,2,0.5 -5.55111512313e-17 -5.55111512313e-17 -5.55111512313e-17 -0.5,0.25 3.08148791102e-33 3.08148791102e-33 3.08148791102e-33 0.25,1 0.5 1.5 2.5 5.5 5,1 0.5 8 17 23 14.5,1 1/2 3/2 5/2 11/2 5,1 1/2 8 17 23 29/2
5,5,2,1 1 1 1 1,0 2,2 10,5,0.2 0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.56 1.44 4.44 6.36,1 0.2 9.52 13.68 21.48 18.12,1 1/5 64/25 36/25 111/25 159/25,1 1/5 238/25 342/25 21479999999957/999999999998 453/25
5,5,2,1 1 1 1 1,0 3,2 10,5,-0.2 -0.2 -0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.56 1.44 4.44 6.36,1 0.2 9.52 13.68 21.48 18.12,1 1/5 64/25 36/25 111/25 159/25,1 1/5 238/25 342/25 537/25 453/25
5,5,2,1 1 1 4 4,0 3,10 2,5,0.2 0.2 0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.4 1.6 4.6 6.2,1 0.2 9.2 14 21.8 17.8,1 1/5 12/5 8/5 23/5 31/5,1 1/5 46/5 14 109/5 89/5
5,6,2,1 1 1 1 2,0 3,2 8,2,0 0 0 0 0,0 0 0 0 0,1 0 4 0 3 8,1 0 12 10 19 22,1 0 4 0 3 8,1 0 12 10 19 22
5,6,2,1 1 1 1 3,0 4,5 5,3,0.333333333333 0.333333333333 -0.333333333333 -0.333333333333 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.555555555556 1.55555555556 2.44444444444 5.44444444444 5,1 0.555555555556 8.22222222222 17.1111111111 22.7777777778 14.3333333333,1 5/9 14/9 22/9 49/9 5,1 5/9 74/9 154/9 22777777777641/999999999994 43/3
5,6,2,1 1 1 3 3,0 4,4 6,3,0.333333333333 0.333333333333 0.333333333333 0.333333333333 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.555555555556 1.55555555556 2.44444444444 5.44444444444 5,1 0.555555555556 8.22222222222 17.1111111111 22.7777777778 14.3333333333,1 5/9 14/9 22/9 49/9 5,1 5/9 74/9 154/9 205/9 43/3
5,6,2,2 2 2 3 3,0 1,4 6,6,-0.333333333333 -0.333333333333 -0.333333333333 5.55111512313e-17 5.55111512313e-17,0.111111111111 0.111111111111 0.111111111111 3.08148791102e-33 3.08148791102e-33,1 0.333333333333 1.88888888889 2.11111111111 5.11111111111 5.55555555556,1 0.333333333333 8.44444444444 15.5555555556 22.5555555556 16.1111111111,1 1/3 17/9 19/9 46/9 50/9,1 1/3 76/9 140/9 203/9 145/9
5,7,2,1 1 1 2 2,0 3,2 7,7,0.142857142857 0.142857142857 0.142857142857 0.142857142857 0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 13101024628103/585187061784 877/49
5,7,2,1 1 1 2 2,0 4,2 7,7,-0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 22387755101302/999999999967 877/49
5,7,2,1 1 1 3 4,0 5,3 6,7,0.142857142857 0.142857142857 0.142857142857 0.428571428571 -0.428571428571,0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 22877551020248/999999999993 741/49
5,7,2,1 1 1 4 4,0 2,3 6,7,-0.142857142857 -0.142857142857 -0.142857142857 0.428571428571 0.428571428571,0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 10817701278913/657651814723 21322709075076/932036346725 14883185224748/984178240233
5,7,2,1 1 2 2 2,0 4,3 6,7,0.428571428571 0.428571428571 -0.142857142857 -0.142857142857 -0.142857142857,0.183673469388 0.183673469388 0.0204081632653 0.0204081632653 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 1121/49 741/49
5,7,2,1 1 2 5 5,0 3,6 3,7,0.428571428571 0.428571428571 -0.142857142857 0.142857142857 0.142857142857,0.183673469388 0.183673469388 0.0204081632653 0.0204081632653 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 22515587904106/984178240233 741/49
5,7,2,1 1 2 5 6,0 4,7 2,7,0.142857142857 0.142857142857 0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 18867044448764/842739451221 17897959183226/999999999975
5,7,2,1 1 3 3 3,0 2,7 2,7,0.142857142857 0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 18867044448764/842739451221 877/49
5,7,2,1 1 3 3 6,0 2,6 3,7,0.142857142857 0.142857142857 0.428571428571 0.428571428571 -0.142857142857,0.0204081632653 0.0204081632653 0.183673469388 0.183673469388 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 16448979591113/999999999956 22877551019882/999999999977 741/49
5,7,2,1 1 4 4 4,0 2,2 7,7,-0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 16453245028870/734921610223 877/49
5,7,2,1 1 4 4 4,0 5,2 7,7,0.142857142857 0.142857142857 0.142857142857 0.142857142857 0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 22110852091271/987631497240 877/49
5,7,2,1 2 2 2 6,0 3,3 6,7,-0.428571428571 0.142857142857 0.142857142857 0.142857142857 0.428571428571,0.183673469388 0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 16769422241692/733007751867 741/49
5,7,2,1 2 5 6 6,0 3,7 2,7,-0.142857142857 -0.142857142857 0.142857142857 0.142857142857 0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 22387755101302/999999999967 17897959183226/999999999975
5,7,2,1 3 3 4 6,0 5,7 2,7,-0.142857142857 0.142857142857 0.142857142857 -0.142857142857 0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 16453245028870/734921610223 17897959183226/999999999975
5,7,2,1 4 4 6 6,0 2,6 3,7,0.142857142857 -0.428571428571 -0.428571428571 -0.142857142857 -0.142857142857,0.0204081632653 0.183673469388 0.183673469388 0.0204081632653 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 10817701278913/657651814723 1121/49 15122448979244/999999999977
5,7,2,1 5 5 5 6,0 4,3 6,7,0.428571428571 0.142857142857 0.142857142857 0.142857142857 -0.428571428571,0.183673469388 0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 16448979591261/999999999965 1121/49 14883185224748/984178240233
5,7,2,2 2 3 4 5,0 1,7 2,7,0.142857142857 0.142857142857 -0.142857142857 0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 14587020477063/651562446104 17897959183226/999999999975
5,7,2,2 2 5 6 6,0 3,6 3,7,-0.142857142857 -0.142857142857 0.142857142857 -0.428571428571 -0.428571428571,0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 22877551019882/999999999977 741/49
5,8,2,1 1 2 2 4,0 5,4 4,8,-8.32667268469e-17 2.77555756156e-17 0.25 0.25 -0.25,6.93334779979e-33 7.70371977755e-34 0.0625 0.0625 0.0625,1 0.1875 1.8125 2.1875 5.1875 5.625,1 0.1875 8 15.125 23 16.6875,1 3/16 29/16 35/16 83/16 45/8,1 3/16 8 121/8 23 267/16
5,8,2,1 1 3 3 4,0 2,6 2,4,0 0 0 0 0,0 0 0 0 0,1 0 2 2 5 6,1 0 8 14 23 18,1 0 2 2 5 6,1 0 8 14 23 18
5,9,2,1 1 2 2 3,0 4,2 5,9,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 491/81,1 5/81 226/27 14 21374746553421/944546901706 10098349164238/562949953409
5,9,2,1 1 2 6 7,0 4,5 2,9,-0.111111111111 -0.111111111111 -0.111111111111 0.111111111111 0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 491/81,1 5/81 226/27 14 22629629629426/999999999991 14938386337527/832766203262
5,9,2,1 1 3 4 4,0 2,5 2,9,-0.111111111111 -0.111111111111 0.111111111111 0.111111111111 0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 6061728394989/999999999988,1 5/81 226/27 14 22629629629426/999999999991 12050535995913/671777987384
5,9,2,1 1 3 7 7,0 5,5 2,9,0.111111111111 0.111111111111 0.111111111111 -0.111111111111 -0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 491/81,1 5/81 226/27 14 611/27 1453/81
5,9,2,1 1 5 5 6,0 2,2 5,9,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 491/81,1 5/81 226/27 14 18095666116672/799644820213 14938386337527/832766203262
5,9,2,1 3 5 5 8,0 2,5 2,9,-0.111111111111 0.111111111111 -0.111111111111 -0.111111111111 0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 491/81,1 5/81 226/27 14 611/27 17938271604149/999999999956
5,9,2,1 4 4 6 8,0 7,5 2,9,0.111111111111 -0.111111111111 -0.111111111111 0.111111111111 -0.111111111111,0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123 0.0123456790123,1 0.0617283950617 2.12345679012 1.87654320988 4.87654320988 6.06172839506,1 0.0617283950617 8.37037037037 14 22.6296296296 17.9382716049,1 5/81 172/81 152/81 395/81 491/81,1 5/81 226/27 14 22629629629426/999999999991 12050535995913/671777987384
5,10,2,2 2 3 3 8,0 4,4 2,5,-0.2 -0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.56 1.44 4.44 6.36,1 0.2 9.52 13.68 21.48 18.12,1 1/5 64/25 36/25 111/25 159/25,1 1/5 238/25 342/25 20357180134058/947727194323 453/25
6,4,2,1 1 1 1 1 1,0 2,16 16,2,-0.5 -2.77555756156e-17 -2.77555756156e-17 -0.5 -0.5 -0.5,0.25 7.70371977755e-34 7.70371977755e-34 0.25 0.25 0.25,1 1 2 4 7 11 6,1 1 8 22 37 41 18,1 1 2 4 7 11 6,1 1 8 22 37 41 18
6,4,2,1 1 1 1 1 3,0 2,12 20,2,-1 0 0 0 1 0,1 0 0 0 1 0,1 2 3 4 7 10 5,1 2 11 28 39 34 13,1 2 3 4 7 10 5,1 2 11 28 39 34 13
6,4,2,1 1 1 1 3 3,0 2,16 16,2,5.55111512313e-17 5.55111512313e-17 0.5 0.5 -5.55111512313e-17 -1,3.08148791102e-33 3.08148791102e-33 0.25 0.25 3.08148791102e-33 1,1 1.5 2 4 8 10.5 5,1 1.5 8.5 25 40 37.5 14.5,1 3/2 2 4 8 21/2 5,1 3/2 17/2 25 40 75/2 29/2
6,4,2,1 1 1 3 3 3,0 2,20 12,2,-5.55111512313e-17 0.5 -5.55111512313e-17 0.5 5.55111512313e-17 5.55111512313e-17,3.08148791102e-33 0.25 3.08148791102e-33 0.25 3.08148791102e-33 3.08148791102e-33,1 0.5 2.75 3 7.5 8.5 8.75,1 0.5 9 17 37 38.5 25,1 1/2 11/4 3 15/2 17/2 35/4,1 1/2 9 17 37 77/2 25
6,5,2,1 1 1 1 1 1,0 2,7 15,5,0.2 0.2 1 0.2 0.2 0.2,0.04 0.04 1 0.04 0.04 0.04,1 1.2 2.76 4 5.88 10.8 6.36,1 1.2 9.72 23.2 35.16 39.6 18.12,1 6/5 69/25 4 147/25 54/5 159/25,1 6/5 243/25 116/5 25572765325849/727325521213 198/5 453/25
6,5,2,1 1 1 1 1 1,0 3,7 20,5,-0.2 0.733333333333 0.0666666666667 -0.2 -0.2 -0.2,0.04 0.537777777778 0.00444444444444 0.04 0.04 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 1339/225 9552543517367/845524111490 307/45,1 158/225 367/45 8081743649771/399822410114 26626290996671/776125854936 42418384929496/984540603377 3081487484751/150039966256
6,5,2,1 1 1 1 1 4,0 2,7 20,5,0.2 0.2 0.2 -0.733333333333 -0.0666666666667 -0.2,0.04 0.04 0.04 0.537777777778 0.00444444444444 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 1339/225 2396414270429/212113772953 307/45,1 158/225 367/45 1516/75 34306666666255/999999999988 37740227169787/875959471137 11846046150471/576792985037
6,5,2,1 1 1 1 1 4,0 3,7 15,5,-0.2 -0.2 -0.6 -0.2 -0.6 0.2,0.04 0.04 0.36 0.04 0.36 0.04,1 0.88 2.92 3.68 5.24 11.44 6.84,1 0.88 9.4 21.92 32.6 41.2 21,1 22/25 73/25 92/25 131/25 286/25 171/25,1 22/25 47/5 21919999999715/999999999987 163/5 41199999999835/999999999996 21
6,5,2,1 1 1 1 4 4,0 3,15 7,5,0.2 0.2 0.2 1 -0.2 -0.2,0.04 0.04 0.04 1 0.04 0.04,1 1.2 2.76 4 5.88 10.8 6.36,1 1.2 9.72 23.2 35.16 39.6 18.12,1 6/5 69/25 4 147/25 54/5 159/25,1 6/5 243/25 116/5 18886756071065/537165986094 198/5 453/25
6,5,2,1 1 1 4 4 4,0 2,20 7,5,-0.2 -0.2 -0.2 -0.0666666666667 0.2 -0.733333333333,0.04 0.04 0.04 0.00444444444444 0.04 0.537777777778,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 5951111110760/999999999941 6890664651660/609913275619 307/45,1 158/225 367/45 19986700922377/988787974392 27124910677399/790660046951 20959545448276/486475936235 6706346313089/326537095963
6,5,2,1 1 1 4 4 4,0 3,20 7,5,0.2 0.2 0.2 0.733333333333 -0.2 0.0666666666667,0.04 0.04 0.04 0.537777777778 0.04 0.00444444444444,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 1339/225 2396414270429/212113772953 307/45,1 158/225 367/45 1516/75 2573/75 9430165627089/218876342696 11846046150471/576792985037
6,5,2,1 1 4 4 4 4,0 2,15 7,5,-0.2 -1 0.2 0.2 0.2 0.2,0.04 1 0.04 0.04 0.04 0.04,1 1.2 2.76 4 5.88 10.8 6.36,1 1.2 9.72 23.2 35.16 39.6 18.12,1 6/5 69/25 4 147/25 54/5 159/25,1 6/5 243/25 116/5 26461658238125/752606889594 39599999999881/999999999997 453/25
6,5,2,1 4 4 4 4 4,0 2,7 15,5,0.2 -0.2 -0.2 -0.2 -1 -0.2,0.04 0.04 0.04 0.04 1 0.04,1 1.2 2.76 4 5.88 10.8 6.36,1 1.2 9.72 23.2 35.16 39.6 18.12,1 6/5 69/25 4 147/25 54/5 159/25,1 6/5 243/25 116/5 12010509928448/341595845519 198/5 453/25
6,5,2,1 4 4 4 4 4,0 3,7 20,5,-0.2 0.2 0.2 0.2 -0.0666666666667 -0.733333333333,0.04 0.04 0.04 0.04 0.00444444444444 0.537777777778,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 1339/225 6890664651660/609913275619 307/45,1 158/225 367/45 1516/75 25252270400093/736074729890 31115312370830/722193654161 7697563943260/374800235281
6,6,2,1 1 1 1 1 1,0 2,2 15,3,0.333333333333 0.333333333333 0.333333333333 0.333333333333 0.333333333333 0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.666666666667 4.33333333333 2.22222222222 7 6 10.7777777778,1 0.666666666667 12.3333333333 16.4444444444 36.3333333333 32.6666666667 28.5555555556,1 2/3 13/3 20/9 7 6 97/9,1 2/3 37/3 148/9 109/3 98/3 257/9
6,6,2,1 1 1 1 1 1,0 3,2 20,2,0 0 0 0 0 0,0 0 0 0 0 0,1 0 2.83333333333 2 9.33333333333 6 10.8333333333,1 0 8.66666666667 12 39.6666666667 36 30.6666666667,1 0 17/6 2 28/3 6 65/6,1 0 26/3 12 119/3 36 92/3
6,6,2,1 1 1 1 1 1,0 4,2 15,3,-0.333333333333 -0.333333333333 -0.333333333333 -0.333333333333 -0.333333333333 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.666666666667 4 2.22222222222 7.66666666667 6 10.4444444444,1 0.666666666667 11.6666666667 16.4444444444 37.6666666667 32.6666666667 27.8888888889,1 2/3 4 20/9 23/3 6 94/9,1 2/3 35/3 148/9 113/3 32666666666667/1000000000000 22886368368751/820626754258
6,6,2,1 1 1 1 1 2,0 3,6 15,2,1 0 0 0 0 0,1 0 0 0 0 0,1 1 4 4 3 11 8,1 1 12 22 29 41 22,1 1 4 4 3 11 8,1 1 12 22 29 41 22
6,6,2,1 1 1 1 1 3,0 4,11 10,3,-0.333333333333 0.666666666667 -1.11022302463e-16 -8.32667268469e-17 0.666666666667 -0.333333333333,0.111111111111 0.444444444444 1.23259516441e-32 6.93334779979e-33 0.444444444444 0.111111111111,1 1.11111111111 1.77777777778 4 7.66666666667 10.8888888889 5.55555555556,1 1.11111111111 7.66666666667 22.6666666667 38.5555555556 40.2222222222 16.7777777778,1 10/9 16/9 4 23/3 98/9 50/9,1 10/9 23/3 68/3 38555555555440/999999999997 26329183867963/654592969093 151/9
6,6,2,1 1 1 1 2 5,0 3,6 15,2,-5.55111512313e-17 -5.55111512313e-17 -0.5 -0.5 -5.55111512313e-17 5.55111512313e-17,3.08148791102e-33 3.08148791102e-33 0.25 0.25 3.08148791102e-33 3.08148791102e-33,1 0.5 2.25 4 5.5 11.5 7.25,1 0.5 8 19 33 44.5 22,1 1/2 9/4 4 11/2 23/2 29/4,1 1/2 8 19 33 89/2 22
6,6,2,1 1 1 1 3 3,0 2,10 12,3,0.666666666667 -0.333333333333 6.0489735792e-17 -0.333333333333 -0.333333333333 -0.333333333333,0.444444444444 0.111111111111 3.65900813618e-33 0.111111111111 0.111111111111 0.111111111111,1 0.888888888889 1.66666666667 4 7.44444444444 11.1111111111 5.88888888889,1 0.888888888889 7.22222222222 21.3333333333 37.6666666667 41.7777777778 18.1111111111,1 8/9 5/3 4 67/9 100/9 53/9,1 8/9 65/9 64/3 113/3 29546228711217/707223559577 163/9
6,6,2,1 1 1 1 3 3,0 4,10 10,3,0 -0.333333333333 0.333333333333 0 -2.77555756156e-17 0.666666666667,0 0.111111111111 0.111111111111 0 7.70371977755e-34 0.444444444444,1 0.666666666667 1.44444444444 4 7.44444444444 11.3333333333 6.11111111111,1 0.666666666667 6.55555555556 20 37.2222222222 43.3333333333 19.2222222222,1 2/3 13/9 4 67/9 34/3 55/9,1 2/3 59/9 20 37222222221999/999999999994 130/3 173/9
6,6,2,1 1 1 1 3 5,0 2,10 11,3,0.333333333333 0.333333333333 0.333333333333 0.333333333333 0.333333333333 0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.666666666667 2.77777777778 3.11111111111 7.44444444444 8.66666666667 8.33333333333,1 0.666666666667 9.22222222222 18.2222222222 37.2222222222 38 23.6666666667,1 2/3 25/9 28/9 67/9 26/3 25/3,1 2/3 83/9 164/9 335/9 38 71/3
6,6,2,1 1 1 1 3 5,0 4,10 11,3,-6.0489735792e-17 -0.333333333333 -0.333333333333 5.05325666705e-17 -0.333333333333 0.333333333333,3.65900813618e-33 0.111111111111 0.111111111111 2.55354029431e-33 0.111111111111 0.111111111111,1 0.444444444444 3.11111111111 2.66666666667 7.66666666667 7.55555555556 9.55555555556,1 0.444444444444 9.66666666667 16 37.2222222222 36.8888888889 26.7777777778,1 4/9 28/9 8/3 23/3 68/9 86/9,1 4/9 29/3 16 27864691843494/748603661467 36888888888889/1000000000000 241/9
6,6,2,1 1 1 1 5 5,0 4,15 2,3,0.333333333333 0.333333333333 0.333333333333 0.333333333333 -0.333333333333 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.666666666667 4 2.22222222222 7.66666666667 6 10.4444444444,1 0.666666666667 11.6666666667 16.4444444444 37.6666666667 32.6666666667 27.8888888889,1 2/3 4 20/9 23/3 6 94/9,1 2/3 35/3 148/9 37666666666667/1000000000000 32666666666667/1000000000000 22301205541245/799644820204
6,6,2,1 1 1 2 2 4,0 3,9 12,2,-0.5 0.5 -5.55111512313e-17 -0.5 -5.55111512313e-17 5.55111512313e-17,0.25 0.25 3.08148791102e-33 0.25 3.08148791102e-33 3.08148791102e-33,1 0.75 1.875 3.75 7 11.5 6.125,1 0.75 7.25 21 36 42.25 19.75,1 3/4 15/8 15/4 7 23/2 49/8,1 3/4 29/4 21 36 169/4 79/4
6,6,2,1 1 1 3 3 3,0 4,8 12,3,0.333333333333 0.333333333333 0.333333333333 0.333333333333 1 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 1 0.111111111111,1 1.55555555556 2.11111111111 4 7.88888888889 10.4444444444 5,1 1.55555555556 8.77777777778 25.3333333333 39.8888888889 37.1111111111 14.3333333333,1 14/9 19/9 4 71/9 94/9 5,1 14/9 79/9 76/3 359/9 334/9 43/3
6,6,2,1 1 1 3 3 5,0 2,10 10,3,-0.333333333333 -0.333333333333 -1 0.333333333333 0.333333333333 0.333333333333,0.111111111111 0.111111111111 1 0.111111111111 0.111111111111 0.111111111111,1 1.55555555556 2.11111111111 4 7.88888888889 10.4444444444 5,1 1.55555555556 8.77777777778 25.3333333333 39.8888888889 37.1111111111 14.3333333333,1 14/9 19/9 4 71/9 94/9 5,1 14/9 79/9 76/3 39888888888889/1000000000000 334/9 43/3
